#,Learner First Name (s),Learner Last Name,Learner Grade,Learner Class,Learner Mobile Number,Learner Email address (Optional),Parent 1 First Name (s),Parent 1 Last Name,Parent 1 Mobile Number,Parent 1 Email address (Optional),Parent 2 First Name (s),Parent 2 Last Name,Parent 2 Mobile Number,Parent 2 Email address (Optional),,,,,
300,Kyle,Butler,Grade 2,Gr 2D,821995398,bowmanbs@msn.com,Amanda,Butler,821995398,bowmanbs@msn.com,Francisco,Butler,821995398,bowmanbs@msn.com,,,,,
301,Ashley,Zimmerman,Grade 2,Gr 2D,836189524,aprakash@msn.com,Jessica,Zimmerman,836189524,aprakash@msn.com,Jason,Zimmerman,836189524,aprakash@msn.com,,,,,
302,Jessica,Robinson,Grade 2,Gr 2D,8569825,kassiesa@comcast.net,Abigail,Robinson,8569825,kassiesa@comcast.net,Jesse,Robinson,8569825,kassiesa@comcast.net,,,,,
303,Victoria,Cole,Grade 2,Gr 2D,833267474,madler@comcast.net,Rebecca,Cole,833267474,madler@comcast.net,Jose,Cole,833267474,madler@comcast.net,,,,,
304,Erica,Gray,Grade 2,Gr 2D,846673953,djpig@yahoo.ca,Danielle,Gray,846673953,djpig@yahoo.ca,Richard,Gray,846673953,djpig@yahoo.ca,,,,,
305,Stacey,Torres,Grade 2,Gr 2D,83440796,amimojo@optonline.net,Krista,Torres,83440796,amimojo@optonline.net,Alex,Torres,83440796,amimojo@optonline.net,,,,,
306,Richard,Hunter,Grade 2,Gr 2D,834153419,choset@verizon.net,Karen,Hunter,834153419,choset@verizon.net,Luke,Hunter,834153419,choset@verizon.net,,,,,
307,Katelyn,Hooper,Grade 2,Gr 2D,846519690,pmint@outlook.com,Pamela,Hooper,846519690,pmint@outlook.com,James,Hooper,846519690,pmint@outlook.com,,,,,
308,Justin,Ortiz,Grade 2,Gr 2D,839006143,eimear@hotmail.com,Ebony,Ortiz,839006143,eimear@hotmail.com,Gary,Ortiz,839006143,eimear@hotmail.com,,,,,
309,Diane,Wilson,Grade 2,Gr 2D,839073458,weidai@sbcglobal.net,Brooke,Wilson,839073458,weidai@sbcglobal.net,Paul,Wilson,839073458,weidai@sbcglobal.net,,,,,
310,David,Foley,Grade 2,Gr 2D,828077377,froodian@comcast.net,Elizabeth,Foley,828077377,froodian@comcast.net,Connor,Foley,828077377,froodian@comcast.net,,,,,
311,Thomas,Carlson,Grade 2,Gr 2D,835736714,schumer@yahoo.com,Jennifer,Carlson,835736714,schumer@yahoo.com,Jeffery,Carlson,835736714,schumer@yahoo.com,,,,,
312,Jacob,Faulkner,Grade 2,Gr 2D,846743005,jmorris@aol.com,Pamela,Faulkner,846743005,jmorris@aol.com,Benjamin,Faulkner,846743005,jmorris@aol.com,,,,,
313,Derek,Dickson,Grade 2,Gr 2D,829227113,naoya@mac.com,Cassandra,Dickson,829227113,naoya@mac.com,Brian,Dickson,829227113,naoya@mac.com,,,,,
314,James,Steele,Grade 2,Gr 2D,834281252,mwilson@me.com,Alexis,Steele,834281252,mwilson@me.com,Garrett,Steele,834281252,mwilson@me.com,,,,,
315,Laura,Parker,Grade 2,Gr 2D,845622064,lipeng@optonline.net,Autumn,Parker,845622064,lipeng@optonline.net,Andrew,Parker,845622064,lipeng@optonline.net,,,,,
316,Eric,Nichols,Grade 2,Gr 2D,846759794,rattenbt@gmail.com,Kimberly,Nichols,846759794,rattenbt@gmail.com,Mike,Nichols,846759794,rattenbt@gmail.com,,,,,
317,Alexis,Duffy,Grade 2,Gr 2D,825934464,dkasak@comcast.net,Sarah,Duffy,825934464,dkasak@comcast.net,Mark,Duffy,825934464,dkasak@comcast.net,,,,,
318,Billy,Mann,Grade 2,Gr 2D,838389282,imightb@comcast.net,Angela,Mann,838389282,imightb@comcast.net,Adam,Mann,838389282,imightb@comcast.net,,,,,
319,Dana,Chandler,Grade 2,Gr 2D,829702535,rkobes@comcast.net,Carrie,Chandler,829702535,rkobes@comcast.net,Robert,Chandler,829702535,rkobes@comcast.net,,,,,
320,Gregory,Morrison,Grade 2,Gr 2D,821995398,laird@msn.com,Jennifer,Morrison,821995398,laird@msn.com,Daniel,Morrison,821995398,laird@msn.com,,,,,
321,Jacqueline,Wilson,Grade 2,Gr 2D,836189524,ajohnson@yahoo.ca,Felicia,Wilson,836189524,ajohnson@yahoo.ca,David,Wilson,836189524,ajohnson@yahoo.ca,,,,,
322,Tammy,Brown,Grade 2,Gr 2D,8569825,psharpe@yahoo.com,Jennifer,Brown,8569825,psharpe@yahoo.com,Ronald,Brown,8569825,psharpe@yahoo.com,,,,,
323,Michael,Howard,Grade 2,Gr 2D,833267474,josem@att.net,Karina,Howard,833267474,josem@att.net,Brian,Howard,833267474,josem@att.net,,,,,
324,George,Hinton,Grade 2,Gr 2D,846673953,zeitlin@outlook.com,Marissa,Hinton,846673953,zeitlin@outlook.com,Eddie,Hinton,846673953,zeitlin@outlook.com,,,,,
325,Joel,Miller,Grade 2,Gr 2D,83440796,dhrakar@verizon.net,Tiffany,Miller,83440796,dhrakar@verizon.net,Bruce,Miller,83440796,dhrakar@verizon.net,,,,,
326,Justin,Hood,Grade 2,Gr 2D,834153419,mobileip@hotmail.com,Crystal,Hood,834153419,mobileip@hotmail.com,Jeremy,Hood,834153419,mobileip@hotmail.com,,,,,
327,Corey,Mejia,Grade 2,Gr 2D,846519690,gward@me.com,Jennifer,Mejia,846519690,gward@me.com,Donald,Mejia,846519690,gward@me.com,,,,,
328,Andrew,Valdez,Grade 2,Gr 2D,839006143,cosimo@yahoo.com,Brooke,Valdez,839006143,cosimo@yahoo.com,Brandon,Valdez,839006143,cosimo@yahoo.com,,,,,
329,Brenda,Barnes,Grade 2,Gr 2D,839073458,ganter@hotmail.com,Amanda,Barnes,839073458,ganter@hotmail.com,Jason,Barnes,839073458,ganter@hotmail.com,,,,,
330,James,Smith,Grade 2,Gr 2D,828077377,wilsonpm@sbcglobal.net,Dawn,Smith,828077377,wilsonpm@sbcglobal.net,Kyle,Smith,828077377,wilsonpm@sbcglobal.net,,,,,
331,Brian,Mercer,Grade 2,Gr 2D,835736714,crimsane@mac.com,Yolanda,Mercer,835736714,crimsane@mac.com,Nicholas,Mercer,835736714,crimsane@mac.com,,,,,
332,Christopher,Sellers,Grade 2,Gr 2D,846743005,kidehen@yahoo.ca,Cindy,Sellers,846743005,kidehen@yahoo.ca,Bradley,Sellers,846743005,kidehen@yahoo.ca,,,,,
333,Lauren,Ellis,Grade 2,Gr 2D,829227113,thomasj@yahoo.com,Heather,Ellis,829227113,thomasj@yahoo.com,Edward,Ellis,829227113,thomasj@yahoo.com,,,,,
334,Jacqueline,Miller,Grade 2,Gr 2D,834281252,jbearp@comcast.net,Karina,Miller,834281252,jbearp@comcast.net,Thomas,Miller,834281252,jbearp@comcast.net,,,,,
335,Christopher,Flores,Grade 2,Gr 2D,845622064,bulletin@yahoo.com,Dominique,Flores,845622064,bulletin@yahoo.com,Vincent,Flores,845622064,bulletin@yahoo.com,,,,,
336,Christine,May,Grade 2,Gr 2D,846759794,mjewell@yahoo.ca,Linda,May,846759794,mjewell@yahoo.ca,Russell,May,846759794,mjewell@yahoo.ca,,,,,
337,Ryan,Stevenson,Grade 2,Gr 2D,825934464,smeier@gmail.com,Maria,Stevenson,825934464,smeier@gmail.com,Brian,Stevenson,825934464,smeier@gmail.com,,,,,
338,Samuel,Knight,Grade 2,Gr 2D,838389282,crandall@optonline.net,Samantha,Knight,838389282,crandall@optonline.net,Joshua,Knight,838389282,crandall@optonline.net,,,,,
339,Alan,Rivas,Grade 2,Gr 2D,829702535,pmint@comcast.net,Priscilla,Rivas,829702535,pmint@comcast.net,Christopher,Rivas,829702535,pmint@comcast.net,,,,,
340,James,Ramos,Grade 2,Gr 2D,821995398,paulv@gmail.com,Elizabeth,Ramos,821995398,paulv@gmail.com,Jonathan,Ramos,821995398,paulv@gmail.com,,,,,
341,Alyssa,Mills,Grade 2,Gr 2D,836189524,portscan@gmail.com,Amy,Mills,836189524,portscan@gmail.com,Peter,Mills,836189524,portscan@gmail.com,,,,,
342,Theodore,Moore,Grade 2,Gr 2D,8569825,jespley@gmail.com,Jennifer,Moore,8569825,jespley@gmail.com,Kevin,Moore,8569825,jespley@gmail.com,,,,,
343,Jimmy,Schroeder,Grade 2,Gr 2D,833267474,noticias@sbcglobal.net,Janet,Schroeder,833267474,noticias@sbcglobal.net,Eddie,Schroeder,833267474,noticias@sbcglobal.net,,,,,
344,Rebecca,Sanchez,Grade 2,Gr 2D,846673953,boomzilla@yahoo.com,Kristin,Sanchez,846673953,boomzilla@yahoo.com,Shane,Sanchez,846673953,boomzilla@yahoo.com,,,,,
345,Nathan,Palmer,Grade 2,Gr 2D,83440796,sethbrown@verizon.net,Kimberly,Palmer,83440796,sethbrown@verizon.net,Jeffrey,Palmer,83440796,sethbrown@verizon.net,,,,,
346,Damon,Mason,Grade 2,Gr 2D,834153419,anicolao@sbcglobal.net,Ashley,Mason,834153419,anicolao@sbcglobal.net,Aaron,Mason,834153419,anicolao@sbcglobal.net,,,,,
347,Spencer,Spence,Grade 2,Gr 2D,846519690,mwilson@mac.com,Barbara,Spence,846519690,mwilson@mac.com,Anthony,Spence,846519690,mwilson@mac.com,,,,,
348,Sierra,Owens,Grade 2,Gr 2D,839006143,jbryan@mac.com,Diana,Owens,839006143,jbryan@mac.com,John,Owens,839006143,jbryan@mac.com,,,,,
349,Hunter,Ford,Grade 2,Gr 2D,839073458,dwheeler@verizon.net,Crystal,Ford,839073458,dwheeler@verizon.net,Dennis,Ford,839073458,dwheeler@verizon.net,,,,,
350,Krystal,Gutierrez,Grade 2,Gr 2D,828077377,squirrel@live.com,Donna,Gutierrez,828077377,squirrel@live.com,Matthew,Gutierrez,828077377,squirrel@live.com,,,,,
351,Morgan,Webb,Grade 2,Gr 2D,835736714,mavilar@comcast.net,Michelle,Webb,835736714,mavilar@comcast.net,Nicholas,Webb,835736714,mavilar@comcast.net,,,,,
352,Shelly,Bennett,Grade 2,Gr 2E,846743005,yenya@sbcglobal.net,Lisa,Bennett,846743005,yenya@sbcglobal.net,Ricky,Bennett,846743005,yenya@sbcglobal.net,,,,,
353,Christine,Perry,Grade 2,Gr 2E,829227113,miyop@outlook.com,Nicole,Perry,829227113,miyop@outlook.com,Joshua,Perry,829227113,miyop@outlook.com,,,,,
354,Jose,Petersen,Grade 2,Gr 2E,834281252,bowmanbs@yahoo.com,Rebecca,Petersen,834281252,bowmanbs@yahoo.com,Frederick,Petersen,834281252,bowmanbs@yahoo.com,,,,,
355,Jennifer,Martin,Grade 2,Gr 2E,845622064,quantaman@aol.com,Allison,Martin,845622064,quantaman@aol.com,Jared,Martin,845622064,quantaman@aol.com,,,,,
356,Scott,Buck,Grade 2,Gr 2E,846759794,odlyzko@optonline.net,Cassidy,Buck,846759794,odlyzko@optonline.net,James,Buck,846759794,odlyzko@optonline.net,,,,,
357,Jesus,Baker,Grade 2,Gr 2E,825934464,matsn@yahoo.com,Kimberly,Baker,825934464,matsn@yahoo.com,Daniel,Baker,825934464,matsn@yahoo.com,,,,,
358,Mr.,John,Grade 2,Gr 2E,838389282,thurston@me.com,Ashley,John,838389282,thurston@me.com,Michael,John,838389282,thurston@me.com,,,,,
359,Austin,King,Grade 2,Gr 2E,829702535,sfoskett@sbcglobal.net,Julie,King,829702535,sfoskett@sbcglobal.net,Daniel,King,829702535,sfoskett@sbcglobal.net,,,,,
360,Keith,Contreras,Grade 2,Gr 2E,821995398,muadip@aol.com,Cynthia,Contreras,821995398,muadip@aol.com,Justin,Contreras,821995398,muadip@aol.com,,,,,
361,Ms.,Michele,Grade 2,Gr 2E,836189524,malattia@sbcglobal.net,Michelle,Michele,836189524,malattia@sbcglobal.net,Joe,Michele,836189524,malattia@sbcglobal.net,,,,,
362,Erica,Gibbs,Grade 2,Gr 2E,8569825,treeves@optonline.net,Kathy,Gibbs,8569825,treeves@optonline.net,Joshua,Gibbs,8569825,treeves@optonline.net,,,,,
363,Stephanie,Graham,Grade 2,Gr 2E,833267474,uncle@yahoo.ca,Jessica,Graham,833267474,uncle@yahoo.ca,Jeremy,Graham,833267474,uncle@yahoo.ca,,,,,
364,Joshua,Wagner,Grade 2,Gr 2E,846673953,kostas@hotmail.com,Linda,Wagner,846673953,kostas@hotmail.com,Jeffrey,Wagner,846673953,kostas@hotmail.com,,,,,
365,Emma,Wise,Grade 2,Gr 2E,83440796,mbswan@verizon.net,Kaitlyn,Wise,83440796,mbswan@verizon.net,Anthony,Wise,83440796,mbswan@verizon.net,,,,,
366,James,Pratt,Grade 2,Gr 2E,834153419,bogjobber@icloud.com,Paula,Pratt,834153419,bogjobber@icloud.com,Robert,Pratt,834153419,bogjobber@icloud.com,,,,,
367,Jeffrey,Johnson,Grade 2,Gr 2E,846519690,kronvold@me.com,Anna,Johnson,846519690,kronvold@me.com,Timothy,Johnson,846519690,kronvold@me.com,,,,,
368,Ashley,Davis,Grade 2,Gr 2E,839006143,drezet@me.com,Linda,Davis,839006143,drezet@me.com,Shane,Davis,839006143,drezet@me.com,,,,,
369,Lisa,Poole,Grade 2,Gr 2E,839073458,garyjb@live.com,Sarah,Poole,839073458,garyjb@live.com,Gregory,Poole,839073458,garyjb@live.com,,,,,
370,Cody,Davis,Grade 2,Gr 2E,828077377,natepuri@msn.com,Ashley,Davis,828077377,natepuri@msn.com,Steven,Davis,828077377,natepuri@msn.com,,,,,
371,John,Osborn,Grade 2,Gr 2E,835736714,dbrobins@att.net,Sarah,Osborn,835736714,dbrobins@att.net,Paul,Osborn,835736714,dbrobins@att.net,,,,,
372,Laura,Gordon,Grade 2,Gr 2E,846743005,henkp@aol.com,Gina,Gordon,846743005,henkp@aol.com,Francisco,Gordon,846743005,henkp@aol.com,,,,,
373,Daniel,Coleman,Grade 2,Gr 2F,829227113,bryam@verizon.net,Nicole,Coleman,829227113,bryam@verizon.net,Jason,Coleman,829227113,bryam@verizon.net,,,,,
374,Joseph,Smith,Grade 2,Gr 2F,834281252,parasite@yahoo.com,Hayley,Smith,834281252,parasite@yahoo.com,John,Smith,834281252,parasite@yahoo.com,,,,,
375,Michaela,Macias,Grade 2,Gr 2F,845622064,yangyan@hotmail.com,Briana,Macias,845622064,yangyan@hotmail.com,Charles,Macias,845622064,yangyan@hotmail.com,,,,,
376,Robert,Simmons,Grade 2,Gr 2F,846759794,dwsauder@mac.com,Lynn,Simmons,846759794,dwsauder@mac.com,John,Simmons,846759794,dwsauder@mac.com,,,,,
377,Danny,Rojas,Grade 2,Gr 2F,825934464,goldberg@att.net,Sonya,Rojas,825934464,goldberg@att.net,Ivan,Rojas,825934464,goldberg@att.net,,,,,
378,Erika,Bradshaw,Grade 2,Gr 2F,838389282,mschwartz@sbcglobal.net,Jennifer,Bradshaw,838389282,mschwartz@sbcglobal.net,Carl,Bradshaw,838389282,mschwartz@sbcglobal.net,,,,,
379,Samantha,Pena,Grade 2,Gr 2F,829702535,mbalazin@hotmail.com,Rachel,Pena,829702535,mbalazin@hotmail.com,Jordan,Pena,829702535,mbalazin@hotmail.com,,,,,
380,Jaime,Erickson,Grade 2,Gr 2F,821995398,wikinerd@hotmail.com,Donna,Erickson,821995398,wikinerd@hotmail.com,William,Erickson,821995398,wikinerd@hotmail.com,,,,,
381,Joshua,Woods,Grade 2,Gr 2F,836189524,sumdumass@msn.com,Laura,Woods,836189524,sumdumass@msn.com,Ruben,Woods,836189524,sumdumass@msn.com,,,,,
382,Albert,Martinez,Grade 2,Gr 2F,8569825,andrei@hotmail.com,Kristen,Martinez,8569825,andrei@hotmail.com,James,Martinez,8569825,andrei@hotmail.com,,,,,
383,Eric,Miller,Grade 2,Gr 2F,833267474,benits@yahoo.com,Jennifer,Miller,833267474,benits@yahoo.com,Blake,Miller,833267474,benits@yahoo.com,,,,,
384,Bernard,Larson,Grade 2,Gr 2F,846673953,dhwon@mac.com,Robyn,Larson,846673953,dhwon@mac.com,Eric,Larson,846673953,dhwon@mac.com,,,,,
385,Allen,Williams,Grade 2,Gr 2F,83440796,amaranth@msn.com,Tara,Williams,83440796,amaranth@msn.com,Shawn,Williams,83440796,amaranth@msn.com,,,,,
386,Jason,Flores,Grade 2,Gr 2F,834153419,jbailie@me.com,Ana,Flores,834153419,jbailie@me.com,Jeffrey,Flores,834153419,jbailie@me.com,,,,,
387,Molly,Thomas,Grade 2,Gr 2F,846519690,syncnine@yahoo.com,Heather,Thomas,846519690,syncnine@yahoo.com,Brett,Thomas,846519690,syncnine@yahoo.com,,,,,
388,Mr.,Kevin,Grade 2,Gr 2F,839006143,eidac@outlook.com,Ashley,Kevin,839006143,eidac@outlook.com,Kyle,Kevin,839006143,eidac@outlook.com,,,,,
389,Elizabeth,Sanchez,Grade 2,Gr 2F,839073458,seurat@att.net,Ruth,Sanchez,839073458,seurat@att.net,Steven,Sanchez,839073458,seurat@att.net,,,,,
390,Tiffany,Marshall,Grade 2,Gr 2F,828077377,syrinx@optonline.net,Victoria,Marshall,828077377,syrinx@optonline.net,Robert,Marshall,828077377,syrinx@optonline.net,,,,,
391,James,Nunez,Grade 2,Gr 2F,835736714,bogjobber@outlook.com,Denise,Nunez,835736714,bogjobber@outlook.com,James,Nunez,835736714,bogjobber@outlook.com,,,,,
392,Jeffrey,Moore,Grade 2,Gr 2F,846743005,leakin@mac.com,Courtney,Moore,846743005,leakin@mac.com,Lawrence,Moore,846743005,leakin@mac.com,,,,,
393,Anne,Ryan,Grade 2,Gr 2F,829227113,facet@sbcglobal.net,Amanda,Ryan,829227113,facet@sbcglobal.net,Andrew,Ryan,829227113,facet@sbcglobal.net,,,,,
394,Leah,Anderson,Grade 2,Gr 2F,834281252,jimmichie@outlook.com,Maria,Anderson,834281252,jimmichie@outlook.com,Terry,Anderson,834281252,jimmichie@outlook.com,,,,,
395,Todd,Garcia,Grade 2,Gr 2F,845622064,gmcgath@sbcglobal.net,Jillian,Garcia,845622064,gmcgath@sbcglobal.net,Arthur,Garcia,845622064,gmcgath@sbcglobal.net,,,,,
396,Rhonda,Anderson,Grade 2,Gr 2F,846759794,vganesh@comcast.net,Sandra,Anderson,846759794,vganesh@comcast.net,Juan,Anderson,846759794,vganesh@comcast.net,,,,,
397,Rachel,Hunter,Grade 2,Gr 2F,825934464,mkearl@yahoo.com,Diane,Hunter,825934464,mkearl@yahoo.com,James,Hunter,825934464,mkearl@yahoo.com,,,,,
398,Tammie,Wilcox,Grade 2,Gr 2F,838389282,jfriedl@att.net,Vanessa,Wilcox,838389282,jfriedl@att.net,Daniel,Wilcox,838389282,jfriedl@att.net,,,,,
399,Arthur,Wang,Grade 2,Gr 2F,829702535,novanet@yahoo.com,Pamela,Wang,829702535,novanet@yahoo.com,Keith,Wang,829702535,novanet@yahoo.com,,,,,
400,Jennifer,Garcia,Grade 2,Gr 2F,821995398,hakim@me.com,Stephanie,Garcia,821995398,hakim@me.com,David,Garcia,821995398,hakim@me.com,,,,,
401,Theresa,Ortega,Grade 3,Gr 3A,836189524,maratb@optonline.net,Erin,Ortega,836189524,maratb@optonline.net,Michael,Ortega,836189524,maratb@optonline.net,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,DDS
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
